2019-12-24 21:52:54.150 [main] INFO  - [Pokkit] [Vault] Disabling Vault v1.7.2-b107
2019-12-24 21:52:54.170 [main] INFO  - Disabling PlaceholderAPI v1.3.1
2019-12-24 21:52:54.182 [main] INFO  - Disabling MultiWorld v1.0
2019-12-24 21:52:54.190 [main] INFO  - Disabling LoveRTP v1
2019-12-24 21:52:54.263 [main] INFO  - §8[§bLoveRTP§8] §r§cDisabled
2019-12-24 21:52:54.476 [main] INFO  - Disabling KotlinLib v1.1
2019-12-24 21:52:54.612 [main] INFO  - Disabling FastAsyncWorldEdit v19.03.29-d13b946-1257-22.0.14
2019-12-24 21:52:54.626 [main] INFO  - Disabling FakeInventories v1.0.3
2019-12-24 21:52:54.652 [main] INFO  - Disabling Factions v1.7.0
2019-12-24 21:52:54.731 [main] INFO  - [Factions] [Factions v1.7.0] Disabled
2019-12-24 21:52:54.763 [main] INFO  - Disabling EssentialsNK v1.8.0
2019-12-24 21:52:54.779 [main] INFO  - Disabling EconomyJob v1.0
2019-12-24 21:52:54.795 [main] INFO  - Disabling EconomyAPI v2.0.1
2019-12-24 21:52:54.839 [main] INFO  - Disabling DiscordChat v2.0-beta
2019-12-24 21:52:54.872 [main] INFO  - Disabling CustomEnchantsNK v1.0.0-beta3
2019-12-24 21:52:54.891 [main] INFO  - Disabling AutoCleaner v1.0.1
2019-12-24 21:52:54.901 [main] INFO  - Unloading level "§acruiser§f"
2019-12-24 21:52:56.717 [main] INFO  - Unloading level "§anether§f"
2019-12-24 21:52:57.108 [main] INFO  - Unloading level "§afactions§f"
2019-12-24 21:52:57.695 [main] INFO  - Stopping other threads
